,name,year,sellingprice,kmdriven,fuel,sellertype,transmission,owner,kmdriven_sc,year_sc,sellingprice_sc
0,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,-1.4450743098747214,-0.7677460161789803
1,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,-1.4450743098747214,-0.6380963646266197
2,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,0.7243813012988068,-0.2587948015036446,0.1657314749980164
3,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,-0.4334547322746074,0.927484706867432,-0.4393002322463333
4,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,1.603479030493436,0.2157170018447861,-0.0935678281067048
5,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,1.260416502027239,-1.4450743098747214,-0.6294530545231289
6,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.6902288051932168,0.0792983739631093
7,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,-0.1332750198666852,0.2157170018447861,-0.4565868524533147
8,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.4529729035190014,0.597896980172552
9,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,0.2526703246577862,0.927484706867432,-0.2405040998660469
10,Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,-0.6693102205951177,0.4529729035190014,-0.4220136120393519
11,Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,0.7243813012988068,0.2157170018447861,-0.4393002322463333
12,Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,-0.8837243008864907,1.1647406085416476,1.9808265967310652
13,Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,-1.4450743098747214,-0.7677460161789803
14,Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,-1.4450743098747214,-0.6380963646266197
15,Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,0.7243813012988068,-0.2587948015036446,0.1657314749980164
16,Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,-0.4334547322746074,0.927484706867432,-0.4393002322463333
17,Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,1.603479030493436,0.2157170018447861,-0.0935678281067048
18,Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,1.260416502027239,-1.4450743098747214,-0.6294530545231289
19,Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.6902288051932168,0.0792983739631093
20,Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,-0.1332750198666852,0.2157170018447861,-0.4565868524533147
21,Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.4529729035190014,0.597896980172552
22,Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,0.2526703246577862,0.927484706867432,-0.2405040998660469
